State,Year,Real_GDP
Alabama,1997,154700
Alaska,1997,41071
Arizona,1997,180293.9
Arkansas,1997,87180.3
California,1997,1441226.4
Colorado,1997,189445.6
Connecticut,1997,205965.2
Delaware,1997,51267
Florida,1997,603988.6
Georgia,1997,351183.9
Hawaii,1997,60620.2
Idaho,1997,38816.3
Illinois,1997,619325.8
Indiana,1997,244848.3
Iowa,1997,120232.5
Kansas,1997,108792.9
Kentucky,1997,155770.4
Louisiana,1997,202386.5
Maine,1997,46325
Maryland,1997,237589.2
Massachusetts,1997,322389.9
Michigan,1997,423459.8
Minnesota,1997,225480.3
Mississippi,1997,88384.3
Missouri,1997,243724.1
Montana,1997,30144.8
Nebraska,1997,73974.1
Nevada,1997,97208.5
New Hampshire,1997,51026.6
New Jersey,1997,454064.1
New Mexico,1997,67993.2
New York,1997,1085934.4
North Carolina,1997,340580.3
North Dakota,1997,22695.3
Ohio,1997,501214.2
Oklahoma,1997,111864.6
Oregon,1997,124840.6
Pennsylvania,1997,521711.8
Rhode Island,1997,43434.7
South Carolina,1997,144972.7
South Dakota,1997,27116.2
Tennessee,1997,226832.8
Texas,1997,860046.9
Utah,1997,86283.5
Vermont,1997,21372.2
Virginia,1997,319992.6
Washington,1997,281522.2
West Virginia,1997,60364.6
Wisconsin,1997,222978.5
Wyoming,1997,24257.7
Alabama,1998,160396.4
Alaska,1998,40263.7
Arizona,1998,197492.1
Arkansas,1998,89905.3
California,1998,1538612.3
Colorado,1998,206449.1
Connecticut,1998,212255
Delaware,1998,56487
Florida,1998,634032.3
Georgia,1998,377705.9
Hawaii,1998,58946.1
Idaho,1998,40879.3
Illinois,1998,639642.7
Indiana,1998,260549.9
Iowa,1998,121031
Kansas,1998,112625.7
Kentucky,1998,160810.1
Louisiana,1998,209356.6
Maine,1998,48138.5
Maryland,1998,248662.9
Massachusetts,1998,335504.4
Michigan,1998,431274.3
Minnesota,1998,237724
Mississippi,1998,90960.1
Missouri,1998,249234
Montana,1998,31456.1
Nebraska,1998,75750
Nevada,1998,102779.4
New Hampshire,1998,54954.5
New Jersey,1998,461237.3
New Mexico,1998,67718.1
New York,1998,1112323.6
North Carolina,1998,351977.9
North Dakota,1998,23971.3
Ohio,1998,518604
Oklahoma,1998,114928.1
Oregon,1998,130425.1
Pennsylvania,1998,534933.6
Rhode Island,1998,45381.3
South Carolina,1998,150732.6
South Dakota,1998,28772.1
Tennessee,1998,240963.4
Texas,1998,920059.6
Utah,1998,91312.7
Vermont,1998,22266.5
Virginia,1998,338931.5
Washington,1998,299817
West Virginia,1998,61725.7
Wisconsin,1998,232087.1
Wyoming,1998,24804.7
Alabama,1999,166531.8
Alaska,1999,39783.1
Arizona,1999,214293.9
Arkansas,1999,94756.9
California,1999,1655438.5
Colorado,1999,221040.8
Connecticut,1999,218860
Delaware,1999,60866.2
Florida,1999,664152
Georgia,1999,404465.2
Hawaii,1999,59612.1
Idaho,1999,44821.5
Illinois,1999,663857.8
Indiana,1999,268864.3
Iowa,1999,123683.4
Kansas,1999,115486.4
Kentucky,1999,165761.9
Louisiana,1999,213475.3
Maine,1999,50620.3
Maryland,1999,258913.4
Massachusetts,1999,353837.9
Michigan,1999,457637.6
Minnesota,1999,247004.7
Mississippi,1999,93597.7
Missouri,1999,256290.4
Montana,1999,31633.4
Nebraska,1999,77421.1
Nevada,1999,110091
New Hampshire,1999,56913.1
New Jersey,1999,477827.9
New Mexico,1999,71421
New York,1999,1172149.8
North Carolina,1999,372030.3
North Dakota,1999,24069.6
Ohio,1999,530745.6
Oklahoma,1999,116968.4
Oregon,1999,133761.7
Pennsylvania,1999,552163.6
Rhode Island,1999,46831.2
South Carolina,1999,157645.5
South Dakota,1999,30038.3
Tennessee,1999,248457.5
Texas,1999,957247.2
Utah,1999,95206.8
Vermont,1999,23561.7
Virginia,1999,356391.8
Washington,1999,322721.6
West Virginia,1999,63691.7
Wisconsin,1999,242026
Wyoming,1999,25866.8
Alabama,2000,168695.3
Alaska,2000,38428.1
Arizona,2000,224729.3
Arkansas,2000,95509.8
California,2000,1784320.6
Colorado,2000,238739.3
Connecticut,2000,233874.2
Delaware,2000,63388.8
Florida,2000,693837.3
Georgia,2000,417713.5
Hawaii,2000,60745.7
Idaho,2000,49793
Illinois,2000,687111.4
Indiana,2000,278990.4
Iowa,2000,129323.4
Kansas,2000,118840.9
Kentucky,2000,161101
Louisiana,2000,206556.1
Maine,2000,52958.5
Maryland,2000,269301.2
Massachusetts,2000,382599.6
Michigan,2000,467654.4
Minnesota,2000,263345.6
Mississippi,2000,93957
Missouri,2000,262665.4
Montana,2000,32513.7
Nebraska,2000,80268.2
Nevada,2000,114810.2
New Hampshire,2000,60742.5
New Jersey,2000,503901.5
New Mexico,2000,72733.8
New York,2000,1217036.4
North Carolina,2000,384115.3
North Dakota,2000,24990.2
Ohio,2000,541005.9
Oklahoma,2000,121170.2
Oregon,2000,145094.2
Pennsylvania,2000,566250.9
Rhode Island,2000,49113.6
South Carolina,2000,161880.2
South Dakota,2000,32124.9
Tennessee,2000,251030.2
Texas,2000,989904.9
Utah,2000,98648.5
Vermont,2000,24844.6
Virginia,2000,372914.1
Washington,2000,325857.6
West Virginia,2000,63364.6
Wisconsin,2000,248572
Wyoming,2000,26614.2
Alabama,2001,168448.3
Alaska,2001,40014.4
Arizona,2001,230885.6
Arkansas,2001,95528.7
California,2001,1784567.7
Colorado,2001,242650.1
Connecticut,2001,236338.1
Delaware,2001,65724.8
Florida,2001,714638
Georgia,2001,422731.6
Hawaii,2001,60446.4
Idaho,2001,48695.4
Illinois,2001,688404.3
Indiana,2001,273884.4
Iowa,2001,128077.5
Kansas,2001,119474.1
Kentucky,2001,161316.4
Louisiana,2001,210534.7
Maine,2001,54066.2
Maryland,2001,281053.6
Massachusetts,2001,388180.8
Michigan,2001,453301.5
Minnesota,2001,263518.7
Mississippi,2001,93515.5
Missouri,2001,260381.1
Montana,2001,32689.6
Nebraska,2001,82268.1
Nevada,2001,116267.3
New Hampshire,2001,61719.4
New Jersey,2001,509631.5
New Mexico,2001,72996.4
New York,2001,1240755.2
North Carolina,2001,387433.9
North Dakota,2001,25329.8
Ohio,2001,534612.4
Oklahoma,2001,125695.7
Oregon,2001,144486.5
Pennsylvania,2001,577677.5
Rhode Island,2001,49705.2
South Carolina,2001,162837.1
South Dakota,2001,32396.9
Tennessee,2001,250311.4
