state,year,nominal_gdp,real_gdp
Alabama,1997,105381.4,154700
Alaska,1997,25859.1,41071
Arizona,1997,132694.8,180293.9
Arkansas,1997,59925,87180.3
California,1997,1068048.6,1441226.4
Colorado,1997,136624.4,189445.6
Connecticut,1997,138467,205965.2
Delaware,1997,33302.2,51267
Florida,1997,401744.2,603988.6
Georgia,1997,242371.9,351183.9
Hawaii,1997,37701.7,60620.2
Idaho,1997,29699.5,38816.3
Illinois,1997,416015.1,619325.8
Indiana,1997,170924.6,244848.3
Iowa,1997,82808.8,120232.5
Kansas,1997,74643.2,108792.9
Kentucky,1997,104878.1,155770.4
Louisiana,1997,116423.1,202386.5
Maine,1997,30574.2,46325
Maryland,1997,159167.8,237589.2
Massachusetts,1997,236435.6,322389.9
Michigan,1997,299832.7,423459.8
Minnesota,1997,157345.9,225480.3
Mississippi,1997,58517.2,88384.3
Missouri,1997,163101.1,243724.1
Montana,1997,19301.7,30144.8
Nebraska,1997,49880,73974.1
Nevada,1997,60255,97208.5
New Hampshire,1997,38122.5,51026.6
New Jersey,1997,307140.9,454064.1
New Mexico,1997,52575.6,67993.2
New York,1997,716104.7,1085934.4
North Carolina,1997,234571.9,340580.3
North Dakota,1997,15796.6,22695.3
Ohio,1997,343513.7,501214.2
Oklahoma,1997,79293.7,111864.6
Oregon,1997,101418.2,124840.6
Pennsylvania,1997,357525.6,521711.8
Rhode Island,1997,28963.2,43434.7
South Carolina,1997,97453.8,144972.7
South Dakota,1997,19062.3,27116.2
Tennessee,1997,154861.9,226832.8
Texas,1997,610659.8,860046.9
Utah,1997,57812,86283.5
Vermont,1997,15443.4,21372.2
Virginia,1997,215419.2,319992.6
Washington,1997,193769.5,281522.2
West Virginia,1997,38781.2,60364.6
Wisconsin,1997,153536.2,222978.5
Wyoming,1997,14673,24257.7
Alabama,1998,110838.8,160396.4
Alaska,1998,24387.8,40263.7
Arizona,1998,144393.2,197492.1
Arkansas,1998,62852,89905.3
California,1998,1143672.5,1538612.3
Colorado,1998,149653.7,206449.1
Connecticut,1998,145299.2,212255
Delaware,1998,37170.6,56487
Florida,1998,428595.6,634032.3
Georgia,1998,265146.4,377705.9
Hawaii,1998,37503,58946.1
Idaho,1998,31352.7,40879.3
Illinois,1998,436533.4,639642.7
Indiana,1998,185336.3,260549.9
Iowa,1998,84629.7,121031
Kansas,1998,78242.3,112625.7
Kentucky,1998,110020.1,160810.1
Louisiana,1998,120228.8,209356.6
Maine,1998,32412.8,48138.5
Maryland,1998,169360.1,248662.9
Massachusetts,1998,247686.8,335504.4
Michigan,1998,311088.2,431274.3
Minnesota,1998,167867.4,237724
Mississippi,1998,61332.3,90960.1
Missouri,1998,170122.2,249234
Montana,1998,20414.4,31456.1
Nebraska,1998,51849.9,75750
Nevada,1998,65332.2,102779.4
New Hampshire,1998,40747.7,54954.5
New Jersey,1998,318104,461237.3
New Mexico,1998,50573.1,67718.1
New York,1998,744958.9,1112323.6
North Carolina,1998,246721.8,351977.9
North Dakota,1998,16842.7,23971.3
Ohio,1998,361479.3,518604
Oklahoma,1998,81778.6,114928.1
Oregon,1998,105016.4,130425.1
Pennsylvania,1998,373515,534933.6
Rhode Island,1998,30835.3,45381.3
South Carolina,1998,103688.6,150732.6
South Dakota,1998,20257.8,28772.1
Tennessee,1998,167783,240963.4
Texas,1998,648243.1,920059.6
Utah,1998,62070.1,91312.7
Vermont,1998,16197.7,22266.5
Virginia,1998,232569.9,338931.5
Washington,1998,209222.5,299817
West Virginia,1998,40258.9,61725.7
Wisconsin,1998,163021.5,232087.1
Wyoming,1998,14833.2,24804.7
Alabama,1999,116514.3,166531.8
Alaska,1999,24920.4,39783.1
Arizona,1999,156442.1,214293.9
Arkansas,1999,67279,94756.9
California,1999,1239773.5,1655438.5
Colorado,1999,162411.7,221040.8
Connecticut,1999,152093.7,218860
Delaware,1999,40446.5,60866.2
Florida,1999,457607,664152
Georgia,1999,289048.9,404465.2
Hawaii,1999,38970.4,59612.1
Idaho,1999,34512.8,44821.5
Illinois,1999,459971.6,663857.8
Indiana,1999,193659.9,268864.3
Iowa,1999,87774.3,123683.4
Kansas,1999,81609.7,115486.4
