Product ,Flow,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,Imports,Alabama,671.0,846.0,974.0,1186.0,1406.0,3554.0,2878.0,3169.0,3567.0,4133.0,4953.0,4153.0,5530.0,7901.0,8146.0,6897.0
336--Transportation Equipment,Imports,Alabama,280.0,439.0,527.0,626.0,719.0,963.0,1216.0,1562.0,1595.0,1440.0,1922.0,2016.0,2444.0,2952.0,3321.0,3442.0
211--Oil & Gas,Imports,Alabama,0.0,0.0,0.0,22.0,973.0,1924.0,899.0,762.0,1088.0,1581.0,1559.0,855.0,1480.0,2909.0,2840.0,1414.0
331--Primary Metal Manufactures,Imports,Alabama,6.0,28.0,32.0,32.0,63.0,49.0,61.0,97.0,88.0,281.0,566.0,311.0,412.0,310.0,246.0,327.0
332--Fabricated Metal Products,Imports,Alabama,20.0,19.0,27.0,40.0,36.0,33.0,33.0,32.0,57.0,72.0,73.0,96.0,149.0,202.0,265.0,289.0
"333--Machinery, Except Electrical",Imports,Alabama,18.0,27.0,68.0,89.0,106.0,114.0,165.0,176.0,147.0,152.0,180.0,161.0,202.0,247.0,317.0,281.0
"335--Electrical Equipment, Appliances & Components",Imports,Alabama,54.0,78.0,73.0,78.0,109.0,98.0,127.0,106.0,109.0,142.0,146.0,156.0,189.0,321.0,283.0,259.0
325--Chemicals,Imports,Alabama,41.0,46.0,55.0,58.0,53.0,57.0,54.0,43.0,125.0,117.0,121.0,147.0,176.0,223.0,177.0,165.0
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Alabama,21.0,18.0,11.0,11.0,11.0,42.0,31.0,65.0,48.0,64.0,83.0,63.0,37.0,211.0,152.0,162.0
334--Computer & Electronic Products,Imports,Alabama,30.0,36.0,14.0,53.0,119.0,22.0,27.0,50.0,71.0,46.0,36.0,43.0,42.0,41.0,63.0,144.0
326--Plastics & Rubber Products,Imports,Alabama,1.0,2.0,4.0,6.0,8.0,9.0,23.0,27.0,24.0,34.0,36.0,45.0,62.0,78.0,110.0,131.0
910--Waste And Scrap,Imports,Alabama,6.0,12.0,17.0,11.0,7.0,14.0,20.0,27.0,48.0,55.0,38.0,48.0,156.0,156.0,97.0,58.0
311--Processed Foods,Imports,Alabama,5.0,2.0,5.0,1.0,3.0,4.0,4.0,6.0,8.0,11.0,58.0,74.0,27.0,53.0,101.0,51.0
327--Nonmetallic Mineral Products,Imports,Alabama,12.0,8.0,12.0,15.0,13.0,14.0,16.0,20.0,18.0,24.0,20.0,23.0,36.0,43.0,45.0,41.0
337--Furniture & Fixtures,Imports,Alabama,27.0,30.0,29.0,23.0,1.0,1.0,5.0,22.0,23.0,20.0,24.0,27.0,39.0,40.0,37.0,35.0
339--Miscellaneous Manufactures,Imports,Alabama,16.0,18.0,20.0,22.0,22.0,22.0,23.0,25.0,24.0,25.0,25.0,17.0,16.0,24.0,23.0,30.0
315--Apparel & Accessories,Imports,Alabama,18.0,25.0,19.0,11.0,23.0,20.0,16.0,19.0,18.0,20.0,24.0,12.0,18.0,29.0,24.0,21.0
316--Leather & Allied Products,Imports,Alabama,23.0,36.0,43.0,66.0,62.0,81.0,79.0,95.0,58.0,25.0,13.0,11.0,11.0,25.0,22.0,14.0
313--Textiles & Fabrics,Imports,Alabama,6.0,6.0,5.0,8.0,13.0,13.0,15.0,1.0,1.0,2.0,8.0,13.0,18.0,14.0,11.0,13.0
314--Textile Mill Products,Imports,Alabama,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,9.0,5.0,3.0,3.0,14.0,8.0,11.0
322--Paper,Imports,Alabama,3.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,8.0,23.0,7.0,3.0,3.0,5.0
321--Wood Products,Imports,Alabama,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
312--Beverages & Tobacco Products,Imports,Alabama,70.0,2.0,0.0,1.6666666666666667,3.3333333333333335,5.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
111--Agricultural Products,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,2.0,5.0,2.0,2.0,2.0,0.0,1.0
113--Forestry Products,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324--Petroleum & Coal Products,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323--Printed Matter & Related Products,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930--Used Or Second-Hand Merchandise,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990--Other Special Classification Provisions,Imports,Alabama,0.0,0.0,2.0,1.6,1.2,0.7999999999999998,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212--Minerals & Ores,Imports,Alabama,9.0,7.0,5.0,5.0,26.0,59.0,48.0,14.0,5.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Imports,Alabama,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112--Livestock & Livestock Products,Imports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Exports,Alabama,727.0,1125.0,1717.0,2030.0,2226.0,2346.0,2887.0,2633.0,2929.0,2602.0,2233.0,1848.0,2469.0,2750.0,3184.0,4201.0
331--Primary Metal Manufactures,Exports,Alabama,113.0,139.0,285.0,537.0,675.0,901.0,1128.0,1013.0,1206.0,993.0,769.0,534.0,805.0,950.0,1079.0,1485.0
336--Transportation Equipment,Exports,Alabama,227.0,340.0,466.0,417.0,504.0,534.0,707.0,607.0,728.0,571.0,443.0,399.0,536.0,466.0,762.0,1123.0
"333--Machinery, Except Electrical",Exports,Alabama,73.0,161.0,394.0,370.0,273.0,215.0,315.0,188.0,179.0,222.0,229.0,224.0,279.0,269.0,284.0,478.0
325--Chemicals,Exports,Alabama,77.0,90.0,119.0,160.0,221.0,107.0,97.0,145.0,183.0,192.0,119.0,110.0,190.0,239.0,223.0,219.0
322--Paper,Exports,Alabama,100.0,140.0,161.0,173.0,149.0,154.0,157.0,131.0,183.0,188.0,156.0,147.0,154.0,197.0,199.0,206.0
334--Computer & Electronic Products,Exports,Alabama,9.0,45.0,69.0,45.0,14.0,43.0,50.0,33.0,23.0,29.0,107.0,31.0,55.0,89.0,83.0,136.0
326--Plastics & Rubber Products,Exports,Alabama,12.0,21.0,25.0,39.0,30.0,32.0,63.0,84.0,97.0,93.0,73.0,69.0,77.0,73.0,90.0,100.0
332--Fabricated Metal Products,Exports,Alabama,22.0,42.0,42.0,43.0,114.0,53.0,60.0,67.0,70.0,70.0,59.0,72.0,80.0,80.0,89.0,86.0
910--Waste And Scrap,Exports,Alabama,20.0,49.0,5.0,3.0,6.0,45.0,46.0,15.0,33.0,46.0,38.0,33.0,65.0,76.0,72.0,78.0
324--Petroleum & Coal Products,Exports,Alabama,8.0,7.0,5.0,43.0,3.0,15.0,19.0,132.0,19.0,30.0,37.0,46.0,24.0,37.0,46.0,55.0
"335--Electrical Equipment, Appliances & Components",Exports,Alabama,13.0,21.0,19.0,40.0,40.0,56.0,74.0,59.0,46.0,28.0,29.0,47.0,50.0,63.0,44.0,50.0
313--Textiles & Fabrics,Exports,Alabama,14.0,19.0,23.0,22.0,16.0,16.0,28.0,34.0,30.0,35.0,35.0,26.0,26.0,28.0,33.0,42.0
311--Processed Foods,Exports,Alabama,4.0,17.0,58.0,95.0,112.0,89.0,82.0,64.0,66.0,39.0,27.0,28.0,30.0,49.0,65.0,37.0
112--Livestock & Livestock Products,Exports,Alabama,9.0,11.0,11.0,11.0,15.0,10.0,11.0,10.0,12.0,16.0,16.0,19.0,21.0,20.0,27.0,28.0
314--Textile Mill Products,Exports,Alabama,4.0,2.0,4.0,2.0,3.0,2.0,4.0,7.0,5.0,6.0,5.0,15.0,10.0,11.0,13.0,16.0
321--Wood Products,Exports,Alabama,2.0,4.0,8.0,5.0,8.0,11.0,7.0,6.0,8.0,7.0,9.0,3.0,12.0,15.0,13.0,15.0
339--Miscellaneous Manufactures,Exports,Alabama,2.0,3.0,6.0,5.0,11.0,18.0,21.0,14.0,15.0,15.0,8.0,8.0,9.0,7.0,12.0,10.0
327--Nonmetallic Mineral Products,Exports,Alabama,2.0,2.0,2.0,5.0,6.0,4.0,4.0,5.0,6.0,8.0,10.0,10.0,12.0,13.0,11.0,10.0
990--Other Special Classification Provisions,Exports,Alabama,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,12.0,15.0,2.0,14.0,8.0,8.0
930--Used Or Second-Hand Merchandise,Exports,Alabama,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,9.0,7.0
323--Printed Matter & Related Products,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0
337--Furniture & Fixtures,Exports,Alabama,1.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0
111--Agricultural Products,Exports,Alabama,1.0,3.0,3.0,0.0,10.0,20.0,3.0,5.0,4.0,2.0,37.0,1.0,21.0,44.0,9.0,1.0
316--Leather & Allied Products,Exports,Alabama,4.0,2.0,1.0,7.0,8.0,12.0,1.0,6.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0
315--Apparel & Accessories,Exports,Alabama,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
212--Minerals & Ores,Exports,Alabama,8.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
113--Forestry Products,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,0.33333333333333337,0.0,0.0,0.0,0.0,2.5,5.0,0.0
312--Beverages & Tobacco Products,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Exports,Alabama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511--Newspapers & Other Published Matter,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211--Oil & Gas,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,3.0
115--Products Supporting Agriculture And Forestry,Exports,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Imports,Alaska,7.0,7.0,10.0,10.0,14.0,21.0,33.0,28.0,20.0,23.0,59.0,44.0,32.0,52.0,99.0,46.0
331--Primary Metal Manufactures,Imports,Alaska,0.0,0.0,0.0,5.0,2.0,11.0,5.0,19.0,15.0,15.0,39.0,19.0,7.0,36.0,86.0,33.0
334--Computer & Electronic Products,Imports,Alaska,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,20.0,5.0,4.0,4.0,4.0
"335--Electrical Equipment, Appliances & Components",Imports,Alaska,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
336--Transportation Equipment,Imports,Alaska,0.0,1.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0
212--Minerals & Ores,Imports,Alaska,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
325--Chemicals,Imports,Alaska,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0
332--Fabricated Metal Products,Imports,Alaska,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
"333--Machinery, Except Electrical",Imports,Alaska,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
326--Plastics & Rubber Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
337--Furniture & Fixtures,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
930--Used Or Second-Hand Merchandise,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339--Miscellaneous Manufactures,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315--Apparel & Accessories,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327--Nonmetallic Mineral Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322--Paper,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316--Leather & Allied Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313--Textiles & Fabrics,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
