State,Year,Imports,Exports
Alaska,2009,$7 ,$8 
Montana,2009,$7 ,$30 
Hawaii,2009,$10 ,$3 
Wyoming,2009,$12 ,$74 
South Dakota,2009,$23 ,$235 
Delaware,2009,$34 ,$90 
North Dakota,2009,$37 ,$197 
Vermont,2009,$40 ,$48 
Maine,2009,$63 ,$43 
West Virginia,2009,$152 ,$130 
Idaho,2009,$186 ,$187 
Nevada,2009,$215 ,$218 
Washington,2009,$345 ,"$1,062 "
Kansas,2009,$345 ,"$1,208 "
Nebraska,2009,$398 ,"$1,105 "
Oregon,2009,$404 ,$200 
New Hampshire,2009,$417 ,$767 
Arkansas,2009,$465 ,$522 
Virginia,2009,$574 ,$752 
Oklahoma,2009,$598 ,$528 
Colorado,2009,$637 ,$584 
New Mexico,2009,$652 ,$385 
Alabama,2009,$671 ,$727 
Rhode Island,2009,$701 ,$84 
Iowa,2009,$865 ,"$1,394 "
Maryland,2009,"$1,100 ",$430 
South Carolina,2009,"$1,204 ","$1,102 "
Minnesota,2009,"$1,316 ",$729 
Connecticut,2009,"$1,716 ",$757 
Utah,2009,"$1,819 ",$279 
Missouri,2009,"$1,980 ","$1,034 "
Massachusetts,2009,"$2,288 ",$902 
Wisconsin,2009,"$2,320 ","$1,586 "
Kentucky,2009,"$2,321 ","$1,009 "
Indiana,2009,"$2,490 ","$1,781 "
Pennsylvania,2009,"$2,520 ","$2,009 "
New York,2009,"$2,667 ","$1,764 "
New Jersey,2009,"$2,887 ","$1,362 "
Georgia,2009,"$2,907 ","$1,360 "
Tennessee,2009,"$3,230 ","$2,362 "
Florida,2009,"$3,239 ","$2,011 "
Louisiana,2009,"$3,632 ","$2,160 "
North Carolina,2009,"$3,739 ","$1,451 "
Ohio,2009,"$4,195 ","$2,687 "
Mississippi,2009,"$4,312 ",$650 
Arizona,2009,"$4,634 ","$4,547 "
Illinois,2009,"$6,155 ","$3,550 "
Michigan,2009,"$17,216 ","$5,214 "
California,2009,"$29,520 ","$17,474 "
Texas,2009,"$57,001 ","$56,035 "
Alaska,2010,$7 ,$13 
Montana,2010,$9 ,$80 
Hawaii,2010,$15 ,$3 
Wyoming,2010,$22 ,$69 
South Dakota,2010,$45 ,$340 
Delaware,2010,$62 ,$148 
North Dakota,2010,$48 ,$166 
Vermont,2010,$37 ,$62 
Maine,2010,$64 ,$32 
West Virginia,2010,$204 ,$190 
Idaho,2010,$165 ,$186 
Nevada,2010,$286 ,$351 
Washington,2010,$415 ,$990 
Kansas,2010,$754 ,"$1,281 "
Nebraska,2010,$369 ,"$1,314 "
Oregon,2010,$566 ,$233 
New Hampshire,2010,$569 ,"$1,049 "
Arkansas,2010,$584 ,$544 
Virginia,2010,$496 ,$862 
Oklahoma,2010,$653 ,$424 
Colorado,2010,$652 ,$590 
New Mexico,2010,$635 ,$429 
Alabama,2010,$846 ,"$1,125 "
Rhode Island,2010,$869 ,$136 
Iowa,2010,$985 ,"$1,833 "
Maryland,2010,"$1,258 ",$488 
South Carolina,2010,"$1,714 ","$1,319 "
Minnesota,2010,"$1,750 ",$978 
Connecticut,2010,"$2,566 ",$982 
Utah,2010,"$2,852 ",$456 
Missouri,2010,"$2,542 ","$1,304 "
Massachusetts,2010,"$2,881 ","$1,273 "
Wisconsin,2010,"$2,910 ","$2,012 "
Kentucky,2010,"$2,899 ","$1,288 "
Indiana,2010,"$3,169 ","$2,620 "
Pennsylvania,2010,"$2,822 ","$2,413 "
New York,2010,"$3,057 ","$2,213 "
New Jersey,2010,"$3,219 ","$1,515 "
Georgia,2010,"$3,663 ","$1,941 "
Tennessee,2010,"$3,668 ","$3,039 "
Florida,2010,"$4,393 ","$2,199 "
Louisiana,2010,"$5,126 ","$2,777 "
North Carolina,2010,"$4,099 ","$1,828 "
Ohio,2010,"$5,548 ","$3,497 "
Mississippi,2010,"$4,344 ","$1,152 "
Arizona,2010,"$5,631 ","$5,135 "
Illinois,2010,"$8,553 ","$4,267 "
Michigan,2010,"$28,152 ","$7,424 "
California,2010,"$32,761 ","$20,949 "
Texas,2010,"$79,021 ","$72,688 "
Alaska,2011,$10 ,$12 
Montana,2011,$16 ,$129 
Hawaii,2011,$18 ,$2 
Wyoming,2011,$18 ,$78 
South Dakota,2011,$55 ,$395 
Delaware,2011,$85 ,$151 
North Dakota,2011,$155 ,$178 
Vermont,2011,$51 ,$72 
Maine,2011,$62 ,$28 
West Virginia,2011,$378 ,$230 
Idaho,2011,$247 ,$210 
Nevada,2011,$379 ,$323 
Washington,2011,$500 ,"$1,375 "
Kansas,2011,$759 ,"$1,621 "
Nebraska,2011,$335 ,"$1,870 "
Oregon,2011,$673 ,$280 
New Hampshire,2011,$557 ,$943 
Arkansas,2011,$595 ,$679 
Virginia,2011,$567 ,$902 
Oklahoma,2011,$812 ,$526 
Colorado,2011,$682 ,$755 
New Mexico,2011,$347 ,$465 
Alabama,2011,$974 ,"$1,717 "
Rhode Island,2011,"$1,065 ",$158 
Iowa,2011,"$1,204 ","$2,182 "
Maryland,2011,"$1,499 ",$320 
South Carolina,2011,"$2,272 ","$1,775 "
Minnesota,2011,"$2,391 ","$1,217 "
Connecticut,2011,"$4,333 ","$1,102 "
Utah,2011,"$4,359 ",$516 
Missouri,2011,"$2,504 ","$1,441 "
Massachusetts,2011,"$3,207 ","$1,437 "
Wisconsin,2011,"$3,030 ","$1,988 "
Kentucky,2011,"$2,723 ","$1,456 "
Indiana,2011,"$3,639 ","$3,288 "
Pennsylvania,2011,"$2,948 ","$2,631 "
New York,2011,"$3,066 ","$2,611 "
New Jersey,2011,"$3,008 ","$2,108 "
Georgia,2011,"$4,640 ","$1,981 "
Tennessee,2011,"$3,809 ","$3,813 "
Florida,2011,"$5,414 ","$2,202 "
Louisiana,2011,"$7,167 ","$5,767 "
North Carolina,2011,"$4,789 ","$1,996 "
Ohio,2011,"$6,150 ","$4,050 "
Mississippi,2011,"$5,454 ","$1,149 "
Arizona,2011,"$6,167 ","$6,045 "
Illinois,2011,"$8,517 ","$5,726 "
Michigan,2011,"$32,919 ","$8,971 "
California,2011,"$33,641 ","$25,825 "
Texas,2011,"$92,594 ","$87,186 "
Alaska,2012,$10 ,$9 
Montana,2012,$17 ,$53 
Hawaii,2012,$12 ,$4 
Wyoming,2012,$20 ,$56 
South Dakota,2012,$58 ,$346 
Delaware,2012,$233 ,$145 
North Dakota,2012,$144 ,$283 
Vermont,2012,$98 ,$130 
Maine,2012,$62 ,$35 
West Virginia,2012,$273 ,$239 
Idaho,2012,$181 ,$257 
Nevada,2012,$358 ,$336 
Washington,2012,$556 ,"$2,864 "
Kansas,2012,"$1,008 ","$1,437 "
Nebraska,2012,$182 ,"$1,806 "
Oregon,2012,$638 ,$372 
New Hampshire,2012,$562 ,$474 
Arkansas,2012,$778 ,$847 
Virginia,2012,$493 ,"$1,055 "
Oklahoma,2012,$886 ,$621 
Colorado,2012,"$1,089 ",$849 
New Mexico,2012,$496 ,$593 
Alabama,2012,"$1,186 ","$2,030 "
Rhode Island,2012,"$1,297 ",$150 
Iowa,2012,"$1,430 ","$2,500 "
Maryland,2012,"$1,740 ",$345 
South Carolina,2012,"$2,783 ","$1,972 "
Minnesota,2012,"$2,119 ","$1,296 "
Connecticut,2012,"$1,693 ","$1,142 "
Utah,2012,"$4,409 ",$487 
Missouri,2012,"$2,626 ","$1,822 "
Massachusetts,2012,"$3,267 ","$1,609 "
Wisconsin,2012,"$3,006 ","$2,167 "
Kentucky,2012,"$3,197 ","$1,714 "
Indiana,2012,"$3,567 ","$3,907 "
Pennsylvania,2012,"$2,852 ","$2,831 "
New York,2012,"$2,998 ","$2,606 "
New Jersey,2012,"$2,758 ","$2,111 "
Georgia,2012,"$4,550 ","$2,276 "
Tennessee,2012,"$4,963 ","$4,232 "
Florida,2012,"$5,621 ","$2,228 "
Louisiana,2012,"$5,132 ","$6,508 "
