State,Year,Per_Capita_Personal_Consumption
Alabama,1998,18235
Alaska,1998,24110
Arizona,1998,21251
Arkansas,1998,16862
California,1998,21897
Colorado,1998,23516
Connecticut,1998,26257
Delaware,1998,24385
Florida,1998,23124
Georgia,1998,20523
Hawaii,1998,22620
Idaho,1998,18030
Illinois,1998,22352
Indiana,1998,19600
Iowa,1998,19451
Kansas,1998,20153
Kentucky,1998,18386
Louisiana,1998,17735
Maine,1998,21314
Maryland,1998,23220
Massachusetts,1998,25986
Michigan,1998,20599
Minnesota,1998,23605
Mississippi,1998,15767
Missouri,1998,21056
Montana,1998,19069
Nebraska,1998,19982
Nevada,1998,22596
New Hampshire,1998,24570
New Jersey,1998,24883
New Mexico,1998,18056
New York,1998,21592
North Carolina,1998,19976
North Dakota,1998,19162
Ohio,1998,20378
Oklahoma,1998,17491
Oregon,1998,21132
Pennsylvania,1998,21883
Rhode Island,1998,21279
South Carolina,1998,19062
South Dakota,1998,18231
Tennessee,1998,19899
Texas,1998,20040
Utah,1998,18257
Vermont,1998,22528
Virginia,1998,21809
Washington,1998,22788
West Virginia,1998,17355
Wisconsin,1998,20564
Wyoming,1998,20184
Alabama,1999,19157
Alaska,1999,25423
Arizona,1999,22272
Arkansas,1999,17839
California,1999,23174
Colorado,1999,25114
Connecticut,1999,27892
Delaware,1999,25719
Florida,1999,24157
Georgia,1999,21675
Hawaii,1999,23560
Idaho,1999,18953
Illinois,1999,23423
Indiana,1999,20680
Iowa,1999,20479
Kansas,1999,21406
Kentucky,1999,19432
Louisiana,1999,18555
Maine,1999,22730
Maryland,1999,24526
Massachusetts,1999,27557
Michigan,1999,21838
Minnesota,1999,25145
Mississippi,1999,16689
Missouri,1999,22216
Montana,1999,20177
Nebraska,1999,21204
Nevada,1999,23980
New Hampshire,1999,26148
New Jersey,1999,26359
New Mexico,1999,18965
New York,1999,22961
North Carolina,1999,21184
North Dakota,1999,20177
Ohio,1999,21532
Oklahoma,1999,18383
Oregon,1999,22310
Pennsylvania,1999,23220
Rhode Island,1999,22474
South Carolina,1999,20158
South Dakota,1999,19344
Tennessee,1999,20950
Texas,1999,21123
Utah,1999,18974
Vermont,1999,23938
Virginia,1999,23245
Washington,1999,24191
West Virginia,1999,18325
Wisconsin,1999,21823
Wyoming,1999,21566
Alabama,2000,20158
Alaska,2000,27243
Arizona,2000,23528
Arkansas,2000,18878
California,2000,24843
Colorado,2000,27049
Connecticut,2000,29575
Delaware,2000,27103
Florida,2000,25688
Georgia,2000,22937
Hawaii,2000,25006
Idaho,2000,20106
Illinois,2000,25055
Indiana,2000,21856
Iowa,2000,21604
Kansas,2000,22758
Kentucky,2000,20645
Louisiana,2000,19489
Maine,2000,24190
Maryland,2000,26332
Massachusetts,2000,29603
Michigan,2000,23073
Minnesota,2000,26969
Mississippi,2000,17649
Missouri,2000,23557
Montana,2000,21413
Nebraska,2000,22603
Nevada,2000,25190
New Hampshire,2000,27887
New Jersey,2000,28193
New Mexico,2000,19971
New York,2000,24536
North Carolina,2000,22462
North Dakota,2000,21446
Ohio,2000,22914
Oklahoma,2000,19516
Oregon,2000,23612
Pennsylvania,2000,24801
Rhode Island,2000,24122
South Carolina,2000,21305
South Dakota,2000,20478
Tennessee,2000,22102
Texas,2000,22526
Utah,2000,20027
Vermont,2000,25541
Virginia,2000,24772
Washington,2000,25767
West Virginia,2000,19401
Wisconsin,2000,23235
Wyoming,2000,22979
Alabama,2001,20868
Alaska,2001,28599
Arizona,2001,24135
Arkansas,2001,19615
California,2001,25721
Colorado,2001,27861
Connecticut,2001,30664
Delaware,2001,28267
Florida,2001,26452
Georgia,2001,23600
Hawaii,2001,25717
Idaho,2001,20694
Illinois,2001,25799
Indiana,2001,22548
Iowa,2001,22313
Kansas,2001,23568
Kentucky,2001,21277
Louisiana,2001,20261
Maine,2001,25390
Maryland,2001,27462
Massachusetts,2001,30997
Michigan,2001,23808
Minnesota,2001,27929
Mississippi,2001,18451
Missouri,2001,24458
Montana,2001,22432
Nebraska,2001,23451
Nevada,2001,25744
New Hampshire,2001,29144
New Jersey,2001,29466
New Mexico,2001,20703
New York,2001,25420
North Carolina,2001,22948
North Dakota,2001,22705
Ohio,2001,23795
Oklahoma,2001,20335
Oregon,2001,24217
Pennsylvania,2001,25856
Rhode Island,2001,25189
South Carolina,2001,21945
South Dakota,2001,21386
Tennessee,2001,22577
Texas,2001,23377
Utah,2001,20586
Vermont,2001,26934
Virginia,2001,25688
Washington,2001,26227
West Virginia,2001,20210
Wisconsin,2001,24124
Wyoming,2001,23867
Alabama,2002,21700
Alaska,2002,30252
Arizona,2002,24770
