State,Year,Per_Capita_Personal_Income
Alabama,1998,22651
Alaska,1998,29287
Arizona,1998,24130
Arkansas,1998,21203
California,1998,28901
Colorado,1998,29776
Connecticut,1998,37638
Delaware,1998,29444
Florida,1998,26909
Georgia,1998,26107
Hawaii,1998,26625
Idaho,1998,22756
Illinois,1998,29873
Indiana,1998,25758
Iowa,1998,25198
Kansas,1998,26201
Kentucky,1998,22433
Louisiana,1998,22265
Maine,1998,24830
Maryland,1998,31417
Massachusetts,1998,32767
Michigan,1998,27286
Minnesota,1998,29141
Mississippi,1998,20173
Missouri,1998,25506
Montana,1998,21431
Nebraska,1998,26387
Nevada,1998,29256
New Hampshire,1998,30348
New Jersey,1998,34580
New Mexico,1998,21318
New York,1998,31995
North Carolina,1998,25385
North Dakota,1998,23286
Ohio,1998,26388
Oklahoma,1998,22009
Oregon,1998,25915
Pennsylvania,1998,27309
Rhode Island,1998,27493
South Carolina,1998,22900
South Dakota,1998,24265
Tennessee,1998,25091
Texas,1998,25543
Utah,1998,22207
Vermont,1998,25747
Virginia,1998,28965
Washington,1998,29355
West Virginia,1998,20451
Wisconsin,1998,27018
Wyoming,1998,25704
Alabama,1999,23296
Alaska,1999,29941
Arizona,1999,24866
Arkansas,1999,21842
California,1999,30529
Colorado,1999,31167
Connecticut,1999,39479
Delaware,1999,31119
Florida,1999,27662
Georgia,1999,27184
Hawaii,1999,27618
Idaho,1999,23658
Illinois,1999,30958
Indiana,1999,26545
Iowa,1999,25705
Kansas,1999,26871
Kentucky,1999,23189
Louisiana,1999,22677
Maine,1999,25793
Maryland,1999,32948
Massachusetts,1999,34767
Michigan,1999,28506
Minnesota,1999,30240
Mississippi,1999,20681
Missouri,1999,26281
Montana,1999,21723
Nebraska,1999,27467
Nevada,1999,30301
New Hampshire,1999,31857
New Jersey,1999,35854
New Mexico,1999,21523
New York,1999,33641
North Carolina,1999,26158
North Dakota,1999,23683
Ohio,1999,27119
Oklahoma,1999,22390
Oregon,1999,26498
Pennsylvania,1999,28416
Rhode Island,1999,28432
South Carolina,1999,23687
South Dakota,1999,25251
Tennessee,1999,25756
Texas,1999,26452
Utah,1999,22995
Vermont,1999,27000
Virginia,1999,30574
Washington,1999,30786
West Virginia,1999,21017
Wisconsin,1999,27892
Wyoming,1999,27404
Alabama,2000,24258
Alaska,2000,31996
Arizona,2000,26271
Arkansas,2000,22731
California,2000,33175
Colorado,2000,33872
Connecticut,2000,42857
Delaware,2000,33810
Florida,2000,29387
Georgia,2000,28760
Hawaii,2000,29174
Idaho,2000,25139
Illinois,2000,33072
Indiana,2000,28075
Iowa,2000,27341
Kansas,2000,28166
Kentucky,2000,24815
Louisiana,2000,23907
Maine,2000,27478
Maryland,2000,35480
Massachusetts,2000,38381
Michigan,2000,30250
Minnesota,2000,32348
Mississippi,2000,21628
Missouri,2000,27857
Montana,2000,22982
Nebraska,2000,28924
Nevada,2000,31858
New Hampshire,2000,35323
New Jersey,2000,39095
New Mexico,2000,23019
New York,2000,35955
North Carolina,2000,27410
North Dakota,2000,25842
Ohio,2000,28496
Oklahoma,2000,24124
Oregon,2000,28257
Pennsylvania,2000,30339
Rhode Island,2000,30350
South Carolina,2000,25025
South Dakota,2000,26727
Tennessee,2000,26998
Texas,2000,28253
Utah,2000,24162
Vermont,2000,29002
Virginia,2000,32631
Washington,2000,32538
West Virginia,2000,22275
Wisconsin,2000,29493
Wyoming,2000,29426
Alabama,2001,25046
Alaska,2001,33591
Arizona,2001,26946
Arkansas,2001,23841
California,2001,33915
Colorado,2001,34812
Connecticut,2001,45032
Delaware,2001,36917
Florida,2001,30405
Georgia,2001,29693
Hawaii,2001,30178
Idaho,2001,25803
Illinois,2001,34206
Indiana,2001,28596
Iowa,2001,28145
Kansas,2001,29047
Kentucky,2001,25564
Louisiana,2001,25630
Maine,2001,28821
Maryland,2001,37012
Massachusetts,2001,39711
Michigan,2001,30694
Minnesota,2001,33417
Mississippi,2001,22806
Missouri,2001,28634
Montana,2001,23910
Nebraska,2001,30184
Nevada,2001,32418
New Hampshire,2001,36782
New Jersey,2001,40189
New Mexico,2001,24545
New York,2001,37176
North Carolina,2001,27782
North Dakota,2001,26493
Ohio,2001,29261
Oklahoma,2001,25557
Oregon,2001,28774
Pennsylvania,2001,31563
Rhode Island,2001,31795
South Carolina,2001,25644
South Dakota,2001,27563
Tennessee,2001,27496
Texas,2001,29601
Utah,2001,24867
Vermont,2001,30704
Virginia,2001,33940
Washington,2001,32986
West Virginia,2001,23731
Wisconsin,2001,30812
Wyoming,2001,31215
Alabama,2002,25671
Alaska,2002,34766
Arizona,2002,27325
Arkansas,2002,24280
California,2002,34047
Colorado,2002,34405
Connecticut,2002,44656
Delaware,2002,37660
Florida,2002,30815
Georgia,2002,30086
Hawaii,2002,31353
Idaho,2002,26272
Illinois,2002,34520
Indiana,2002,28902
Iowa,2002,28804
Kansas,2002,29218
Kentucky,2002,26053
Louisiana,2002,26281
Maine,2002,29546
Maryland,2002,37995
Massachusetts,2002,39419
Michigan,2002,30595
Minnesota,2002,33889
Mississippi,2002,23202
Missouri,2002,29144
Montana,2002,24516
Nebraska,2002,30553
Nevada,2002,32180
New Hampshire,2002,37013
New Jersey,2002,40454
New Mexico,2002,25237
New York,2002,36972
North Carolina,2002,27856
North Dakota,2002,27197
Ohio,2002,29669
Oklahoma,2002,25999
Oregon,2002,28759
Pennsylvania,2002,32084
Rhode Island,2002,32801
South Carolina,2002,26122
South Dakota,2002,27497
Tennessee,2002,28102
Texas,2002,29481
Utah,2002,25167
Vermont,2002,31194
Virginia,2002,34495
Washington,2002,33222
West Virginia,2002,24506
Wisconsin,2002,31406
Wyoming,2002,31810
Alabama,2003,26700
Alaska,2003,36045
Arizona,2003,28384
Arkansas,2003,25564
California,2003,35191
Colorado,2003,34757
Connecticut,2003,44898
Delaware,2003,37985
Florida,2003,31779
Georgia,2003,30805
Hawaii,2003,32557
Idaho,2003,26739
Illinois,2003,35081
Indiana,2003,29445
Iowa,2003,29344
Kansas,2003,30029
Kentucky,2003,26661
Louisiana,2003,26987
Maine,2003,30740
Maryland,2003,39295
Massachusetts,2003,40158
Michigan,2003,31267
Minnesota,2003,35195
Mississippi,2003,24060
Missouri,2003,30054
Montana,2003,26114
Nebraska,2003,32268
Nevada,2003,33136
New Hampshire,2003,37374
New Jersey,2003,41167
New Mexico,2003,26108
New York,2003,37420
North Carolina,2003,28709
North Dakota,2003,29663
Ohio,2003,30471
Oklahoma,2003,27184
Oregon,2003,29523
Pennsylvania,2003,33066
Rhode Island,2003,34256
South Carolina,2003,26792
South Dakota,2003,29883
Tennessee,2003,29059
Texas,2003,30176
Utah,2003,25749
Vermont,2003,32282
Virginia,2003,36151
Washington,2003,34267
West Virginia,2003,24804
Wisconsin,2003,32084
Wyoming,2003,33642
Alabama,2004,28385
Alaska,2004,37054
Arizona,2004,30154
Arkansas,2004,27024
California,2004,36969
Colorado,2004,35753
Connecticut,2004,47098
Delaware,2004,38843
Florida,2004,33706
Georgia,2004,31982
Hawaii,2004,34336
Idaho,2004,28299
Illinois,2004,36366
Indiana,2004,30657
Iowa,2004,31615
Kansas,2004,30748
Kentucky,2004,28030
Louisiana,2004,27983
Maine,2004,32096
Maryland,2004,41515
Massachusetts,2004,42242
Michigan,2004,32092
Minnesota,2004,37084
Mississippi,2004,25287
Missouri,2004,31396
Montana,2004,28034
Nebraska,2004,33496
Nevada,2004,35173
New Hampshire,2004,39324
New Jersey,2004,42825
New Mexico,2004,27366
New York,2004,39093
North Carolina,2004,30586
North Dakota,2004,29984
Ohio,2004,31588
Oklahoma,2004,29194
Oregon,2004,30980
Pennsylvania,2004,34860
Rhode Island,2004,35867
South Carolina,2004,27892
South Dakota,2004,31871
Tennessee,2004,30435
Texas,2004,31097
Utah,2004,26980
Vermont,2004,33955
Virginia,2004,38082
Washington,2004,36309
West Virginia,2004,25628
Wisconsin,2004,33319
Wyoming,2004,35921
Alabama,2005,29780
Alaska,2005,39013
Arizona,2005,32150
Arkansas,2005,28043
California,2005,38737
Colorado,2005,37619
Connecticut,2005,49424
Delaware,2005,39133
Florida,2005,35736
Georgia,2005,33283
Hawaii,2005,36278
Idaho,2005,29214
Illinois,2005,37720
Indiana,2005,31376
Iowa,2005,32411
Kansas,2005,32340
Kentucky,2005,29104
Louisiana,2005,29970
Maine,2005,32684
Maryland,2005,43311
Massachusetts,2005,44061
Michigan,2005,32756
Minnesota,2005,37812
Mississippi,2005,26716
Missouri,2005,32256
Montana,2005,29839
Nebraska,2005,34401
Nevada,2005,37907
New Hampshire,2005,40404
New Jersey,2005,44238
New Mexico,2005,28744
New York,2005,40645
North Carolina,2005,32209
North Dakota,2005,31731
Ohio,2005,32419
Oklahoma,2005,31699
Oregon,2005,32125
Pennsylvania,2005,36173
Rhode Island,2005,36746
South Carolina,2005,29136
South Dakota,2005,33534
Tennessee,2005,31410
Texas,2005,33136
Utah,2005,28751
Vermont,2005,34573
Virginia,2005,40027
Washington,2005,37202
West Virginia,2005,26836
Wisconsin,2005,34218
Wyoming,2005,38907
Alabama,2006,31264
Alaska,2006,41013
Arizona,2006,34460
Arkansas,2006,29376
California,2006,41454
Colorado,2006,39869
Connecticut,2006,53224
Delaware,2006,40736
Florida,2006,38009
Georgia,2006,34574
Hawaii,2006,38315
Idaho,2006,31244
Illinois,2006,40021
Indiana,2006,32905
Iowa,2006,34197
Kansas,2006,35411
Kentucky,2006,30476
Louisiana,2006,33627
Maine,2006,34168
Maryland,2006,45293
Massachusetts,2006,47311
Michigan,2006,33563
Minnesota,2006,39362
Mississippi,2006,27827
Missouri,2006,33860
Montana,2006,31870
Nebraska,2006,35718
Nevada,2006,39437
New Hampshire,2006,42866
New Jersey,2006,47366
New Mexico,2006,30433
New York,2006,43760
North Carolina,2006,34189
North Dakota,2006,33120
Ohio,2006,33976
