state_name,spliced_formations_per_quarter,year
alabama,61.75,2005
alabama,59.0,2006
alabama,53.25,2007
alabama,41.75,2008
alabama,38.0,2009
alabama,39.0,2010
alabama,37.875,2011
alabama,36.625,2012
alabama,35.75,2013
alabama,37.0,2014
alabama,38.125,2015
alabama,37.5,2016
alabama,38.125,2017
alabama,38.875,2018
alabama,38.375,2019
alabama,41.25,2020
alabama,56.875,2021
alabama,55.0,2022
alabama,54.75,2023
alabama,50.5,2024
arkansas,41.125,2005
arkansas,39.375,2006
arkansas,36.75,2007
arkansas,29.5,2008
arkansas,27.375,2009
arkansas,27.375,2010
arkansas,27.25,2011
arkansas,26.75,2012
arkansas,26.5,2013
arkansas,27.125,2014
arkansas,28.25,2015
arkansas,27.625,2016
arkansas,28.875,2017
arkansas,29.25,2018
arkansas,27.875,2019
arkansas,28.125,2020
arkansas,38.375,2021
arkansas,35.5,2022
arkansas,35.5,2023
arkansas,32.625,2024
colorado,120.75,2005
colorado,114.375,2006
colorado,105.25,2007
colorado,86.125,2008
colorado,83.875,2009
colorado,79.75,2010
colorado,76.875,2011
colorado,78.875,2012
colorado,81.875,2013
colorado,88.875,2014
colorado,91.5,2015
colorado,90.0,2016
colorado,91.0,2017
colorado,94.875,2018
colorado,86.75,2019
colorado,84.375,2020
colorado,99.875,2021
colorado,99.5,2022
colorado,105.625,2023
colorado,102.375,2024
delaware,15.875,2005
delaware,14.25,2006
delaware,14.75,2007
delaware,11.5,2008
delaware,11.0,2009
delaware,12.0,2010
delaware,12.5,2011
delaware,12.75,2012
delaware,12.5,2013
delaware,13.625,2014
delaware,14.5,2015
delaware,15.125,2016
delaware,15.625,2017
delaware,15.625,2018
delaware,16.0,2019
delaware,17.25,2020
delaware,26.0,2021
delaware,26.5,2022
delaware,31.875,2023
delaware,34.875,2024
hawaii,17.375,2005
hawaii,17.25,2006
hawaii,15.0,2007
hawaii,12.5,2008
hawaii,11.0,2009
hawaii,10.75,2010
hawaii,10.875,2011
hawaii,10.5,2012
hawaii,11.125,2013
hawaii,11.25,2014
hawaii,11.5,2015
hawaii,11.625,2016
hawaii,11.625,2017
hawaii,12.25,2018
hawaii,10.875,2019
hawaii,10.125,2020
hawaii,13.25,2021
hawaii,12.5,2022
hawaii,12.25,2023
hawaii,12.0,2024
iowa,42.875,2005
iowa,37.625,2006
iowa,34.75,2007
iowa,30.25,2008
iowa,27.5,2009
iowa,28.375,2010
iowa,27.25,2011
iowa,27.125,2012
iowa,26.25,2013
iowa,25.875,2014
iowa,28.125,2015
iowa,28.25,2016
iowa,30.25,2017
